# KS X 1001 Ideographs (4,620)
000051CD	uni51CD-JP
000051DC	uni51DC-JP
000051DD	uni51DD-JP
000051DE	uniFA15-JP
000051E1	uni51E1-CN
000051F0	uni51F0-CN
000051F1	uni51F1-JP
000051F6	uni51F6-JP
000051F8	uni51F8-JP
000051F9	uni51F9-JP
000051FA	uni51FA-JP
000051FD	uni51FD-JP
00005200	uni5200-CN
00005203	uni5203uE0101-JP
00005206	uni5206uE0101-JP
00005207	uni5207-JP
00005208	uni5208-CN
0000520A	uni520A-CN
0000520E	uni520E-CN
00005211	uni5211-CN
00005217	uni5217-JP
0000521D	uni521D-JP
00005224	uni5224uE0101-JP
00005225	uni5225-JP
00005229	uni5229-JP
0000522A	uni522A-JP
0000522E	uni522E-CN
00005230	uni5230-JP
00005236	uni5236-CN
00005237	uni5237-JP
00005238	uni5238uE0101-JP
00005239	uni5239-JP
0000523A	uni523A-JP
0000523B	uni523B-JP
00005243	uni5243-JP
00005247	uni5247-JP
0000524A	uni524AuE0101-JP
0000524B	uni524B-JP
0000524C	uni524C-CN
0000524D	uni524D-CN
00005254	uni5254-CN
00005256	uni5256-JP
0000525B	uni525B-JP
0000525D	uni525D-JP
00005261	uni5261-CN
00005269	uni5269-CN
0000526A	uni526A-CN
0000526F	uni526F-CN
00005272	uni5272-KR
00005275	uni5275-JP
0000527D	uni527D-CN
0000527F	uni527F-CN
00005283	uni5283-JP
00005287	uni5287-JP
00005288	uni5288-JP
00005289	uni5289-JP
0000528D	uni528D-JP
00005291	uni5291-JP
00005292	uni5292-JP
0000529B	uni529B-CN
0000529F	uni529F-CN
000052A0	uni52A0-JP
000052A3	uni52A3-JP
000052A4	uni52A4-JP
000052A9	uni52A9-CN
000052AA	uni52AA-JP
000052AB	uni52AB-JP
000052BE	uni52BE-JP
000052C1	uni52C1-JP
000052C3	uni52C3-JP
000052C5	uni52C5-JP
000052C7	uni52C7-CN
000052C9	uniFA33-JP
000052CD	uni52CD-JP
000052D2	uni52D2-CN
000052D5	uni52D5-JP
000052D6	uni52D6-CN
000052D8	uni52D8-JP
000052D9	uni52D9-JP
000052DB	uni52DB-JP
000052DD	uni52DDuE0101-JP
000052DE	uni52DE-JP
000052DF	uni52DF-CN
000052E2	uni52E2-JP
000052E3	uni52E3-JP
000052E4	uniFA34-JP
000052F3	uni52F3-JP
000052F5	uni52F5-JP
000052F8	uni52F8-JP
000052FA	uni52FA-CN
000052FB	uni52FB-JP
000052FE	uni52FE-JP
000052FF	uni52FF-CN
00005305	uni5305-CN
00005308	uni5308-JP
0000530D	uni530D-CN
0000530F	uni530F-JP
00005310	uni5310-CN
00005315	uni5315-CN
00005316	uni5316uE0101-JP
00005317	uni5317-JP
00005319	uni5319-CN
00005320	uni5320-JP
00005321	uni5321-JP
00005323	uni5323-JP
0000532A	uni532A-JP
0000532F	uni532F-JP
00005339	uni5339-JP
0000533F	uni533F-JP
00005340	uni5340-JP
00005341	uni5341-CN
00005343	uni5343-CN
00005344	uni5344-CN
00005347	uni5347-CN
00005348	uni5348-CN
00005349	uni5349-CN
0000534A	uni534AuE0101-JP
0000534D	uni534D-JP
00005351	uniFA35-JP
00005352	uni5352-JP
00005353	uni5353-CN
00005354	uni5354-JP
00005357	uni5357-CN
0000535A	uni535AuE0101-JP
0000535C	uni535C-CN
0000535E	uni535E-JP
00005360	uni5360-CN
00005366	uni5366-JP
00005368	uni5368-JP
0000536F	uni536F-JP
00005370	uni5370-JP
00005371	uni5371-JP
00005374	uni5374-JP
00005375	uni5375-JP
00005377	uni5377-JP
0000537D	uni537D-JP
0000537F	uni537F-JP
00005384	uni5384-CN
00005393	uni5393-JP
00005398	uni5398-CN
0000539A	uni539A-JP
0000539F	uni539F-JP
000053A0	uni53A0-JP
000053A5	uni53A5-JP
000053A6	uni53A6-JP
000053AD	uni53AD-JP
000053BB	uni53BB-JP
000053C3	uni53C3-JP
000053C8	uni53C8-JP
000053C9	uni53C9-JP
000053CA	uni53CAuE0101-JP
000053CB	uni53CB-CN
000053CD	uni53CD-JP
000053D4	uni53D4-CN
000053D6	uni53D6-JP
000053D7	uni53D7-CN
000053DB	uni53DB-JP
000053E1	uni53E1-JP
000053E2	uni53E2-JP
000053E3	uni53E3-CN
000053E4	uni53E4-CN
000053E5	uni53E5-CN
000053E9	uni53E9-JP
000053EA	uni53EA-JP
000053EB	uni53EB-JP
000053EC	uni53EC-CN
000053ED	uni53ED-JP
000053EF	uni53EF-CN
000053F0	uni53F0-JP
000053F1	uni53F1-CN
000053F2	uni53F2-CN
000053F3	uni53F3-CN
000053F8	uni53F8-CN
00005403	uni5403-CN
00005404	uni5404-CN
00005408	uni5408-JP
00005409	uni5409-CN
0000540A	uni540A-CN
0000540C	uni540C-CN
0000540D	uni540D-JP
0000540E	uni540E-JP
0000540F	uni540F-CN
00005410	uni5410-CN
00005411	uni5411-JP
0000541B	uni541B-CN
0000541D	uni541D-JP
0000541F	uni541F-JP
00005420	uni5420-JP
00005426	uni5426-CN
00005429	uni5429-JP
0000542B	uni542B-JP
00005433	uni5433-JP
00005438	uni5438uE0101-JP
00005439	uni5439-JP
0000543B	uni543B-CN
0000543C	uni543C-JP
0000543E	uni543E-CN
00005442	uni5442-JP
00005448	uni5448-KR
0000544A	uni544A-CN
00005451	uni5451-JP
00005468	uni5468-CN
0000546A	uni546A-JP
00005471	uni5471-JP
00005473	uni5473-CN
00005475	uni5475-CN
0000547B	uni547B-CN
0000547C	uni547C-CN
0000547D	uni547D-JP
00005480	uni5480-CN
00005486	uni5486-CN
0000548C	uni548C-CN
0000548E	uni548E-KR
00005490	uni5490-CN
000054A4	uni54A4-JP
000054A8	uni54A8-JP
000054AB	uni54AB-CN
000054AC	uni54AC-JP
000054B3	uni54B3-JP
000054B8	uni54B8-JP
000054BD	uni54BD-JP
000054C0	uni54C0-JP
000054C1	uni54C1-CN
000054C4	uni54C4-CN
000054C8	uni54C8-JP
000054C9	uni54C9-CN
000054E1	uni54E1-JP
000054E5	uni54E5-JP
000054E8	uni54E8-JP
000054ED	uni54ED-CN
000054EE	uni54EE-JP
000054F2	uni54F2-JP
000054FA	uni54FA-CN
00005504	uni5504-JP
00005506	uni5506-JP
00005507	uni5507-JP
0000550E	uni550E-JP
00005510	uni5510uE0101-JP
0000551C	uni551C-CN
0000552F	uni552F-JP
00005531	uni5531-CN
00005535	uni5535-JP
0000553E	uni553E-CN
00005544	uni5544uE0101-JP
00005546	uni5546-JP
