# KR
907C FE00; Standardized_Variants; CID+58821
908F FE00; Standardized_Variants; CID+40771
90CE FE00; Standardized_Variants; CID+40868
90DE FE00; Standardized_Variants; CID+40890
916A FE00; Standardized_Variants; CID+41141
91B4 FE00; Standardized_Variants; CID+41292
91CC FE00; Standardized_Variants; CID+41341
91CF FE00; Standardized_Variants; CID+41344
91D1 FE00; Standardized_Variants; CID+41347
9234 FE00; Standardized_Variants; CID+41535
9304 FE00; Standardized_Variants; CID+41941
934A FE00; Standardized_Variants; CID+42072
95AD FE00; Standardized_Variants; CID+43024
962E FE00; Standardized_Variants; CID+43201
964B FE00; Standardized_Variants; CID+43241
964D FE00; Standardized_Variants; CID+62867
9675 FE00; Standardized_Variants; CID+43310
9678 FE00; Standardized_Variants; CID+43317
9686 FE00; Standardized_Variants; CID+58823
96A3 FE00; Standardized_Variants; CID+62873
96B7 FE00; Standardized_Variants; CID+43437
96B8 FE00; Standardized_Variants; CID+43439
96E2 FE00; Standardized_Variants; CID+43524
96F6 FE00; Standardized_Variants; CID+43561
96F7 FE00; Standardized_Variants; CID+43564
9732 FE00; Standardized_Variants; CID+43690
9748 FE00; Standardized_Variants; CID+43736
9818 FE00; Standardized_Variants; CID+44100
985E FE00; Standardized_Variants; CID+58822
99F1 FE00; Standardized_Variants; CID+44928
9A6A FE00; Standardized_Variants; CID+45157
9B6F FE00; Standardized_Variants; CID+45651
9C57 FE00; Standardized_Variants; CID+46027
9DFA FE00; Standardized_Variants; CID+46656
9E1E FE00; Standardized_Variants; CID+46719
9E7F FE00; Standardized_Variants; CID+46823
9E97 FE00; Standardized_Variants; CID+62965
9E9F FE00; Standardized_Variants; CID+46909
9ECE FE00; Standardized_Variants; CID+47018
9F8D FE00; Standardized_Variants; CID+47434
9F9C FE00; Standardized_Variants; CID+62984
9F9C FE01; Standardized_Variants; CID+62984
# EOF
